,ticker,start_date,end_date
116,ADUS,2009-10-28 00:00:00-04:00,2024-06-07 00:00:00-04:00
117,ADVM,2014-07-31 00:00:00-04:00,2024-06-07 00:00:00-04:00
118,ADXN,2020-02-12 00:00:00-05:00,2024-06-07 00:00:00-04:00
119,ADXS,2020-05-08 00:00:00-04:00,2024-06-07 00:00:00-04:00
120,ADYX,1998-12-18 00:00:00-05:00,2024-06-07 00:00:00-04:00
121,AE,1975-02-07 00:00:00-05:00,2024-06-07 00:00:00-04:00
122,AEE,1998-01-02 00:00:00-05:00,2024-06-07 00:00:00-04:00
123,AEFC,2019-10-24 00:00:00-04:00,2024-06-07 00:00:00-04:00
124,AEHL,2007-12-17 00:00:00-05:00,2024-06-07 00:00:00-04:00
125,AEHR,1997-08-15 00:00:00-04:00,2024-06-07 00:00:00-04:00
126,AEI,2020-11-25 00:00:00-05:00,2024-06-07 00:00:00-04:00
127,AEIS,1995-11-17 00:00:00-05:00,2024-06-07 00:00:00-04:00
128,AEL,2003-12-04 00:00:00-05:00,2024-05-02 00:00:00-04:00
129,AEL-PB,2020-06-11 00:00:00-04:00,2024-06-07 00:00:00-04:00
130,AEM,1973-02-21 00:00:00-05:00,2024-06-07 00:00:00-04:00
131,AEMD,1999-03-04 00:00:00-05:00,2024-06-07 00:00:00-04:00
132,AEO,1994-04-14 00:00:00-04:00,2024-06-07 00:00:00-04:00
133,AER,2006-11-21 00:00:00-05:00,2024-06-07 00:00:00-04:00
134,AERG,2021-01-08 00:00:00-05:00,2024-06-07 00:00:00-04:00
135,AEVA,2020-02-27 00:00:00-05:00,2024-06-07 00:00:00-04:00
136,AEYE,2013-04-26 00:00:00-04:00,2024-06-07 00:00:00-04:00
137,AEZS,2000-05-10 00:00:00-04:00,2024-06-07 00:00:00-04:00
138,AFBI,2017-04-28 00:00:00-04:00,2024-06-07 00:00:00-04:00
139,AFCG,2021-03-19 00:00:00-04:00,2024-06-07 00:00:00-04:00
140,AFDG,2012-01-09 00:00:00-05:00,2024-06-07 00:00:00-04:00
141,AFGB,2020-04-01 00:00:00-04:00,2024-06-07 00:00:00-04:00
142,AFHIF,2013-02-12 00:00:00-05:00,2024-06-07 00:00:00-04:00
143,AFIB,2020-08-06 00:00:00-04:00,2024-06-07 00:00:00-04:00
144,AFIIQ,2016-03-17 00:00:00-04:00,2024-06-07 00:00:00-04:00
145,AFL,1980-03-17 00:00:00-05:00,2024-06-07 00:00:00-04:00
146,AFMD,2014-09-12 00:00:00-04:00,2024-06-07 00:00:00-04:00
147,AFOM,2016-09-08 00:00:00-04:00,2024-06-07 00:00:00-04:00
148,AFPW,2005-01-27 00:00:00-05:00,2024-06-07 00:00:00-04:00
149,AFRM,2021-01-13 00:00:00-05:00,2024-06-07 00:00:00-04:00
150,AFT,2011-02-25 00:00:00-05:00,2024-06-07 00:00:00-04:00
151,AFYA,2019-07-19 00:00:00-04:00,2024-06-07 00:00:00-04:00
152,AG,2006-11-28 00:00:00-05:00,2024-06-07 00:00:00-04:00
153,AGCO,1992-04-16 00:00:00-04:00,2024-06-07 00:00:00-04:00
154,AGD,2006-07-27 00:00:00-04:00,2024-06-07 00:00:00-04:00
155,AGEN,2000-02-08 00:00:00-05:00,2024-06-07 00:00:00-04:00
156,AGFY,2021-01-28 00:00:00-05:00,2024-06-07 00:00:00-04:00
157,AGGG,2018-02-12 00:00:00-05:00,2024-06-07 00:00:00-04:00
158,AGI,2003-05-02 00:00:00-04:00,2024-06-07 00:00:00-04:00
159,AGIO,2013-07-24 00:00:00-04:00,2024-06-07 00:00:00-04:00
160,AGL,2021-04-15 00:00:00-04:00,2024-06-07 00:00:00-04:00
161,AGM,1994-02-10 00:00:00-05:00,2024-06-07 00:00:00-04:00
162,AGM-PG,2021-05-21 00:00:00-04:00,2024-06-07 00:00:00-04:00
163,AGMH,2018-04-18 00:00:00-04:00,2024-06-07 00:00:00-04:00
164,AGNCP,2020-02-05 00:00:00-05:00,2024-06-07 00:00:00-04:00
165,AGO,2004-04-23 00:00:00-04:00,2024-06-07 00:00:00-04:00
166,AGR,2015-12-17 00:00:00-05:00,2024-06-07 00:00:00-04:00
167,AGRO,2011-01-28 00:00:00-05:00,2024-06-07 00:00:00-04:00
168,AGRX,2014-05-23 00:00:00-04:00,2024-06-07 00:00:00-04:00
169,AGS,2018-01-26 00:00:00-05:00,2024-06-07 00:00:00-04:00
170,AGSS,2012-09-25 00:00:00-04:00,2024-06-07 00:00:00-04:00
171,AGTI,2019-06-11 00:00:00-04:00,2024-05-06 00:00:00-04:00
172,AGTK,1998-05-14 00:00:00-04:00,2024-06-07 00:00:00-04:00
173,AGTX,2015-08-21 00:00:00-04:00,2024-06-07 00:00:00-04:00
174,AGX,1995-08-18 00:00:00-04:00,2024-06-07 00:00:00-04:00
175,AGYS,1980-03-17 00:00:00-05:00,2024-06-07 00:00:00-04:00
176,AHCO,2018-05-31 00:00:00-04:00,2024-06-07 00:00:00-04:00
177,AHFD,2011-10-27 00:00:00-04:00,2024-06-07 00:00:00-04:00
178,AHG,2017-11-03 00:00:00-04:00,2024-06-07 00:00:00-04:00
179,AHH,2013-05-08 00:00:00-04:00,2024-06-07 00:00:00-04:00
180,AHH-PA,2019-06-12 00:00:00-04:00,2024-06-07 00:00:00-04:00
181,AHI,2021-11-19 00:00:00-05:00,2024-06-07 00:00:00-04:00
182,AHL-PE,2019-08-07 00:00:00-04:00,2024-06-07 00:00:00-04:00
183,AHNR,2007-01-10 00:00:00-05:00,2024-06-07 00:00:00-04:00
184,AHT,2003-08-26 00:00:00-04:00,2024-06-07 00:00:00-04:00
185,AHT-PI,2017-11-10 00:00:00-05:00,2024-06-07 00:00:00-04:00
186,AI,2020-12-09 00:00:00-05:00,2024-06-07 00:00:00-04:00
187,AIAD,2000-09-08 00:00:00-04:00,2024-06-07 00:00:00-04:00
188,AIBBU,2022-01-19 00:00:00-05:00,2024-06-07 00:00:00-04:00
189,AIF,2013-02-26 00:00:00-05:00,2024-06-07 00:00:00-04:00
190,AIG,1973-01-02 00:00:00-05:00,2024-06-07 00:00:00-04:00
191,AIH,2019-10-25 00:00:00-04:00,2024-06-07 00:00:00-04:00
192,AIHS,2018-03-19 00:00:00-04:00,2024-06-07 00:00:00-04:00
193,AIKO,2009-10-16 00:00:00-04:00,2024-06-07 00:00:00-04:00
194,AIM,1996-07-12 00:00:00-04:00,2024-06-07 00:00:00-04:00
195,AIMBU,2023-08-14 00:00:00-04:00,2024-06-07 00:00:00-04:00
196,AIN,1987-09-30 00:00:00-04:00,2024-06-07 00:00:00-04:00
197,AINC,2014-11-17 00:00:00-05:00,2024-06-07 00:00:00-04:00
198,AIP,2021-10-27 00:00:00-04:00,2024-06-07 00:00:00-04:00
199,AIR,1980-03-17 00:00:00-05:00,2024-06-07 00:00:00-04:00
200,AIRC,2020-12-15 00:00:00-05:00,2024-06-07 00:00:00-04:00
201,AIRG,2016-08-12 00:00:00-04:00,2024-06-07 00:00:00-04:00
202,AIRI,2000-10-05 00:00:00-04:00,2024-06-07 00:00:00-04:00
203,AIRS,2021-10-29 00:00:00-04:00,2024-06-07 00:00:00-04:00
204,AIRT,1984-04-24 00:00:00-05:00,2024-06-07 00:00:00-04:00
205,AIT,1980-03-17 00:00:00-05:00,2024-06-07 00:00:00-04:00
206,AITX,2011-05-18 00:00:00-04:00,2024-06-07 00:00:00-04:00
207,AIU,2018-03-28 00:00:00-04:00,2024-06-07 00:00:00-04:00
208,AIV,1994-07-22 00:00:00-04:00,2024-06-07 00:00:00-04:00
209,AIXN,2008-02-29 00:00:00-05:00,2024-06-07 00:00:00-04:00
210,AIZN,2020-11-25 00:00:00-05:00,2024-06-07 00:00:00-04:00
211,AJG,1984-06-20 00:00:00-04:00,2024-06-07 00:00:00-04:00
212,AJXA,2017-04-28 00:00:00-04:00,2024-04-29 00:00:00-04:00
213,AKA,2021-09-22 00:00:00-04:00,2024-06-07 00:00:00-04:00
214,AKAM,1999-10-29 00:00:00-04:00,2024-06-07 00:00:00-04:00
215,AKAN,2022-03-15 00:00:00-04:00,2024-06-07 00:00:00-04:00
216,AKBA,2014-03-20 00:00:00-04:00,2024-06-07 00:00:00-04:00
217,AKLI,2021-06-30 00:00:00-04:00,2024-06-07 00:00:00-04:00
218,AKO-B,1997-04-07 00:00:00-04:00,2024-06-07 00:00:00-04:00
219,AKOM,2017-05-30 00:00:00-04:00,2024-06-07 00:00:00-04:00
220,AKR,1993-05-27 00:00:00-04:00,2024-06-07 00:00:00-04:00
221,AKRO,2019-06-20 00:00:00-04:00,2024-06-07 00:00:00-04:00
222,AKTS,2015-06-04 00:00:00-04:00,2024-06-07 00:00:00-04:00
223,AKTX,2014-01-06 00:00:00-05:00,2024-06-07 00:00:00-04:00
224,AKYA,2021-04-16 00:00:00-04:00,2024-06-07 00:00:00-04:00
225,AL,2011-04-19 00:00:00-04:00,2024-06-07 00:00:00-04:00
226,AL-PA,2019-02-27 00:00:00-05:00,2024-06-07 00:00:00-04:00
227,ALB,1994-02-22 00:00:00-05:00,2024-06-07 00:00:00-04:00
228,ALC,2019-04-09 00:00:00-04:00,2024-06-07 00:00:00-04:00
229,ALCC,2021-07-08 00:00:00-04:00,2024-05-09 00:00:00-04:00
230,ALCO,1973-05-03 00:00:00-04:00,2024-06-07 00:00:00-04:00
231,ALDA,2011-05-12 00:00:00-04:00,2024-06-07 00:00:00-04:00
232,ALDS,2019-07-18 00:00:00-04:00,2024-06-07 00:00:00-04:00
233,ALDX,2014-05-02 00:00:00-04:00,2024-06-07 00:00:00-04:00
234,ALE,1973-05-03 00:00:00-04:00,2024-06-07 00:00:00-04:00
235,ALEC,2019-02-07 00:00:00-05:00,2024-06-07 00:00:00-04:00
236,ALEX,2012-06-14 00:00:00-04:00,2024-06-07 00:00:00-04:00
237,ALG,1993-03-19 00:00:00-05:00,2024-06-07 00:00:00-04:00
238,ALGM,2020-10-29 00:00:00-04:00,2024-06-07 00:00:00-04:00
239,ALGN,2001-01-30 00:00:00-05:00,2024-06-07 00:00:00-04:00
240,ALGS,2020-10-16 00:00:00-04:00,2024-06-07 00:00:00-04:00
241,ALGT,2006-12-08 00:00:00-05:00,2024-06-07 00:00:00-04:00
242,ALHC,2021-03-26 00:00:00-04:00,2024-06-07 00:00:00-04:00
243,ALID,2019-08-15 00:00:00-04:00,2024-06-07 00:00:00-04:00
244,ALIM,2019-11-04 00:00:00-05:00,2024-06-07 00:00:00-04:00
245,ALIT,2020-07-17 00:00:00-04:00,2024-06-07 00:00:00-04:00
246,ALK,1980-03-17 00:00:00-05:00,2024-06-07 00:00:00-04:00
247,ALKS,1991-07-16 00:00:00-04:00,2024-06-07 00:00:00-04:00
248,ALKT,2021-04-14 00:00:00-04:00,2024-06-07 00:00:00-04:00
249,ALL,1993-06-03 00:00:00-04:00,2024-06-07 00:00:00-04:00
250,ALL-PI,2019-11-06 00:00:00-05:00,2024-06-07 00:00:00-04:00
251,ALLE,2013-11-18 00:00:00-05:00,2024-06-07 00:00:00-04:00
252,ALLG,2021-04-01 00:00:00-04:00,2024-06-07 00:00:00-04:00
253,ALLK,2018-07-19 00:00:00-04:00,2024-06-07 00:00:00-04:00
254,ALLO,2018-10-11 00:00:00-04:00,2024-06-07 00:00:00-04:00
255,ALLR,2021-12-21 00:00:00-05:00,2024-06-07 00:00:00-04:00
256,ALLT,2006-11-16 00:00:00-05:00,2024-06-07 00:00:00-04:00
257,ALLY,2014-01-28 00:00:00-05:00,2024-06-07 00:00:00-04:00
258,ALNY,2004-06-01 00:00:00-04:00,2024-06-07 00:00:00-04:00
259,ALOT,1981-10-01 00:00:00-04:00,2024-06-07 00:00:00-04:00
260,ALPC,2019-06-28 00:00:00-04:00,2024-06-07 00:00:00-04:00
261,ALPE,1995-04-10 00:00:00-04:00,2024-06-07 00:00:00-04:00
262,ALPN,2015-06-17 00:00:00-04:00,2024-05-20 00:00:00-04:00
263,ALPP,2017-01-13 00:00:00-05:00,2024-06-07 00:00:00-04:00
264,ALRM,2015-06-26 00:00:00-04:00,2024-06-07 00:00:00-04:00
265,ALRN,2017-06-29 00:00:00-04:00,2024-06-07 00:00:00-04:00
266,ALRS,2003-03-20 00:00:00-05:00,2024-06-07 00:00:00-04:00
267,ALSN,2012-03-15 00:00:00-04:00,2024-06-07 00:00:00-04:00
268,ALT,2017-05-26 00:00:00-04:00,2024-06-07 00:00:00-04:00
269,ALTB,2016-11-16 00:00:00-05:00,2024-06-07 00:00:00-04:00
270,ALTD,2022-05-18 00:00:00-04:00,2024-06-07 00:00:00-04:00
271,ALTG,2019-04-25 00:00:00-04:00,2024-06-07 00:00:00-04:00
272,ALTG-PA,2021-01-06 00:00:00-05:00,2024-06-07 00:00:00-04:00
273,ALTO,2005-03-24 00:00:00-05:00,2024-06-07 00:00:00-04:00
274,ALTR,2017-11-01 00:00:00-04:00,2024-06-07 00:00:00-04:00
275,ALTX,1994-04-08 00:00:00-04:00,2024-06-07 00:00:00-04:00
276,ALV,1997-04-28 00:00:00-04:00,2024-06-07 00:00:00-04:00
277,ALVR,2020-07-30 00:00:00-04:00,2024-06-07 00:00:00-04:00
278,ALX,1973-02-21 00:00:00-05:00,2024-06-07 00:00:00-04:00
279,ALXO,2020-07-17 00:00:00-04:00,2024-06-07 00:00:00-04:00
280,ALZN,2021-06-15 00:00:00-04:00,2024-06-07 00:00:00-04:00
281,AM,2017-05-04 00:00:00-04:00,2024-06-07 00:00:00-04:00
282,AMAL,2018-08-09 00:00:00-04:00,2024-06-07 00:00:00-04:00
283,AMAT,1980-03-17 00:00:00-05:00,2024-06-07 00:00:00-04:00
284,AMBA,2012-10-10 00:00:00-04:00,2024-06-07 00:00:00-04:00
285,AMBC,2013-05-01 00:00:00-04:00,2024-06-07 00:00:00-04:00
286,AMBO,2018-06-08 00:00:00-04:00,2024-06-07 00:00:00-04:00
287,AMBP,2021-08-05 00:00:00-04:00,2024-06-07 00:00:00-04:00
288,AMCCF,2009-09-10 00:00:00-04:00,2024-06-07 00:00:00-04:00
289,AMCT,2016-09-07 00:00:00-04:00,2024-06-07 00:00:00-04:00
290,AMCX,2011-06-16 00:00:00-04:00,2024-06-07 00:00:00-04:00
291,AMD,1980-03-17 00:00:00-05:00,2024-06-07 00:00:00-04:00
292,AME,1984-07-19 00:00:00-04:00,2024-06-07 00:00:00-04:00
293,AMED,1994-08-17 00:00:00-04:00,2024-06-07 00:00:00-04:00
294,AMGN,1983-06-17 00:00:00-04:00,2024-06-07 00:00:00-04:00
295,AMH,2013-08-01 00:00:00-04:00,2024-06-07 00:00:00-04:00
296,AMH-PG,2017-07-12 00:00:00-04:00,2024-06-07 00:00:00-04:00
297,AMHG,2020-08-18 00:00:00-04:00,2024-06-07 00:00:00-04:00
298,AMIH,2004-08-26 00:00:00-04:00,2024-06-07 00:00:00-04:00
299,AMK,2019-07-18 00:00:00-04:00,2024-06-07 00:00:00-04:00
300,AMKR,1998-05-01 00:00:00-04:00,2024-06-07 00:00:00-04:00
301,AMLX,2022-01-07 00:00:00-05:00,2024-06-07 00:00:00-04:00
302,AMMJ,2014-10-27 00:00:00-04:00,2024-06-07 00:00:00-04:00
303,AMMX,2021-01-08 00:00:00-05:00,2024-06-07 00:00:00-04:00
304,AMN,2001-11-13 00:00:00-05:00,2024-06-07 00:00:00-04:00
305,AMNL,2002-07-25 00:00:00-04:00,2024-06-07 00:00:00-04:00
306,AMP,2005-09-15 00:00:00-04:00,2024-06-07 00:00:00-04:00
307,AMPE,2008-07-31 00:00:00-04:00,2024-06-07 00:00:00-04:00
308,AMPGW,2021-02-18 00:00:00-05:00,2024-06-07 00:00:00-04:00
309,AMPH,2014-06-25 00:00:00-04:00,2024-06-07 00:00:00-04:00
310,AMPL,2021-09-28 00:00:00-04:00,2024-06-07 00:00:00-04:00
311,AMPS,2021-02-01 00:00:00-05:00,2024-06-07 00:00:00-04:00
312,AMPX,2022-09-15 00:00:00-04:00,2024-06-07 00:00:00-04:00
313,AMPY,2012-04-20 00:00:00-04:00,2024-06-07 00:00:00-04:00
314,AMRC,2010-07-22 00:00:00-04:00,2024-06-07 00:00:00-04:00
315,AMRK,2014-03-17 00:00:00-04:00,2024-06-07 00:00:00-04:00
316,AMRN,1993-04-01 00:00:00-05:00,2024-06-07 00:00:00-04:00
317,AMRX,2018-05-07 00:00:00-04:00,2024-06-07 00:00:00-04:00
318,AMS,1984-07-03 00:00:00-04:00,2024-06-07 00:00:00-04:00
319,AMSC,1991-12-12 00:00:00-05:00,2024-06-07 00:00:00-04:00
320,AMSF,2005-11-18 00:00:00-05:00,2024-06-07 00:00:00-04:00
321,AMST,2020-09-25 00:00:00-04:00,2024-06-07 00:00:00-04:00
322,AMSU,2002-10-08 00:00:00-04:00,2024-06-07 00:00:00-04:00
323,AMSWA,1983-02-28 00:00:00-05:00,2024-06-07 00:00:00-04:00
324,AMT,1998-02-27 00:00:00-05:00,2024-06-07 00:00:00-04:00
325,AMTB,2018-10-18 00:00:00-04:00,2024-06-07 00:00:00-04:00
326,AMTD,2019-08-05 00:00:00-04:00,2024-06-07 00:00:00-04:00
327,AMTX,2006-06-27 00:00:00-04:00,2024-06-07 00:00:00-04:00
328,AMTY,1996-10-17 00:00:00-04:00,2024-06-07 00:00:00-04:00
329,AMWD,1986-07-18 00:00:00-04:00,2024-06-07 00:00:00-04:00
330,AMWL,2020-09-17 00:00:00-04:00,2024-06-07 00:00:00-04:00
331,AMZN,1997-05-15 00:00:00-04:00,2024-06-07 00:00:00-04:00
332,AN,1990-05-11 00:00:00-04:00,2024-06-07 00:00:00-04:00
333,ANAB,2017-01-26 00:00:00-05:00,2024-06-07 00:00:00-04:00
334,ANDE,1996-02-20 00:00:00-05:00,2024-06-07 00:00:00-04:00
335,ANDR,1972-06-02 00:00:00-04:00,2024-06-07 00:00:00-04:00
336,ANEB,2021-05-07 00:00:00-04:00,2024-06-07 00:00:00-04:00
337,ANET,2014-06-06 00:00:00-04:00,2024-06-07 00:00:00-04:00
338,ANF,1996-09-26 00:00:00-04:00,2024-06-07 00:00:00-04:00
339,ANFIF,2012-10-10 00:00:00-04:00,2024-06-07 00:00:00-04:00
340,ANGI,2011-11-17 00:00:00-05:00,2024-06-07 00:00:00-04:00
